"PLAYER","BASE.SALARY","SIGN.BONUS","ALL.BONUSES","CAP.VALUE","SALARY","POSITION","TEAM","YEAR"
"Bledsoe, Drew",2900000,6500000,,5001530,9501530,"Quarterback","bills","2002"
"Williams, Mike (OL)",962500,7275000,,2175000,8237500,"Outside Linebacker","bills","2002"
"Fletcher, London",525000,4e+06,,1327160,4527160,"Linebacker","bills","2002"
"Brown, Ruben",3400000,,,4736000,3400000,"Outside Linebacker","bills","2002"
"Riemersma, Jay",2525000,,,3898980,2526980,"Tight End","bills","2002"
"Teague, Trey",525000,1500000,,912814,2037814,"Outside Linebacker","bills","2002"
"Williams, Pat",1950000,,,2986880,1952880,"Defensive Tackle","bills","2002"
"Reed, Josh",291000,1600000,,691000,1891000,"Wide Receiver","bills","2002"
"Van Pelt, Alex",650000,1e+06,,9e+05,1700000,"Quarterback","bills","2002"
"Moulds, Eric",1550000,,,3650000,1650000,"Wide Receiver","bills","2002"
"Prioleau, Pierson",550000,850000,,768124,1306271,"Safety","bills","2002"
"Moore, Dave",750000,5e+05,,918826,1252160,"Tight End","bills","2002"
"Denney, Ryan",225000,950000,,462500,1175000,"Defensive End","bills","2002"
"Centers, Larry",750000,250000,,1025630,1000630,"Running Back","bills","2002"
"Robinson, Eddie",750000,175000,,838940,926440,"Linebacker","bills","2002"
"Watson, Chris",450000,4e+05,,653240,853240,"Cornerback","bills","2002"
"Conaty, Billy",525000,325000,,851440,851440,"Outside Linebacker","bills","2002"
"Jenkins, Billy",525000,2e+05,,627250,727250,"Safety","bills","2002"
"Wire, Coy",225000,480000,,345000,705000,"Safety","bills","2002"
"Price, Marcus",525000,150000,,576440,676440,"Outside Linebacker","bills","2002"
"Hollis, Mike",650000,25000,26260,476260,676260,"Punter/Kicker","bills","2002"
"Ahanotu, Chidi",650000,25000,,475000,675000,"Defensive End","bills","2002"
"Johnson, Charles E.",650000,25000,,475000,675000,"Wide Receiver","bills","2002"
"Bryson, Shawn",563000,,,565430,565430,"Running Back","bills","2002"
"Newman, Keith",563000,,,565430,565430,"Linebacker","bills","2002"
"Rogers, Charlie",563000,,,564260,564260,"Running Back","bills","2002"
"Price, Peerless",450000,,,687160,487160,"Wide Receiver","bills","2002"
"Winfield, Antoine",450000,,,1154600,453600,"Cornerback","bills","2002"
"Schobel, Aaron",346875,,,730475,400475,"Defensive End","bills","2002"
"Clements, Nate",3e+05,,,1280870,390245,"Cornerback","bills","2002"
"Bannan, Justin",225000,160000,,265000,385000,"Defensive Tackle","bills","2002"
"Morris, Sammy",375000,,,411843,378510,"Running Back","bills","2002"
"Polk, Dashon",375000,,,385663,378330,"Linebacker","bills","2002"
"Brown, Travis",375000,,,377070,377070,"Quarterback","bills","2002"
"Driver, Tony",3e+05,,,326756,304590,"Safety","bills","2002"
"Crosby, Phillip",3e+05,,,305460,303960,"Running Back","bills","2002"
"Henry, Travis",3e+05,,,548960,303960,"Running Back","bills","2002"
"Office, Kendrick",3e+05,,,303960,303960,"Defensive End","bills","2002"
"Moorman, Brian",3e+05,,3870,303870,303870,"Punter/Kicker","bills","2002"
"Spoon, Brandon",3e+05,,,403446,303780,"Linebacker","bills","2002"
"Edwards, Ron",3e+05,,,466856,303690,"Defensive Tackle","bills","2002"
"Jennings, Jonas",3e+05,,,416100,303600,"Outside Linebacker","bills","2002"
"Sullivan, Marques",3e+05,,,342343,303510,"Outside Linebacker","bills","2002"
"Thomas, Kevin",225000,77500,,250833,302500,"Cornerback","bills","2002"
"Denman, Anthony",3e+05,,,3e+05,3e+05,"Linebacker","bills","2002"
"Houghton, Mike",225000,58250,,225000,283250,"Outside Linebacker","bills","2002"
"Bostic, Jason",3e+05,2000,,286005,269946,"Cornerback","bills","2002"
"Pucillo, Mike",225000,38500,,237833,263500,"Outside Linebacker","bills","2002"
"Rone, Andre",225000,20000,,238960,248960,"Wide Receiver","bills","2002"
"Irons, Grant",225000,5000,,230000,230000,"Defensive End","bills","2002"
"Burns, Joe",225000,3500,,226750,228500,"Running Back","bills","2002"
"Favors, Greg",525000,,,158824,185294,"Linebacker","bills","2002"
"Jones, Marcus",525000,,,185294,185294,"Defensive End","bills","2002"
"Stevenson, Dominique",225000,,,172059,172059,"Linebacker","bills","2002"
"Brooks, Ahmad",225000,,,145588,145588,"Cornerback","bills","2002"
"McDonnell, Brady",225000,,,79412,79412,"Tight End","bills","2002"
"Robertson, Tyrone",3e+05,,,82494,73828,"Defensive Tackle","bills","2002"
"Floyd, Marcus",225000,,,26471,26471,"Cornerback","bills","2002"
"Larsen, Leif",375000,,,180240,3240,"Defensive Tackle","bills","2002"
"Spikes, Takeo",1e+06,9e+06,,2503200,10003200,"Linebacker","bills","2003"
"Milloy, Lawyer",2e+06,5e+06,,3250000,7e+06,"Safety","bills","2003"
"Bledsoe, Drew",3400000,2e+06,,5502800,5502800,"Quarterback","bills","2003"
"Brown, Ruben",3060000,,,5840400,4504400,"Outside Linebacker","bills","2003"
"Williams, Mike (OL)",558125,3225000,,3265230,4336325,"Outside Linebacker","bills","2003"
"Moulds, Eric",3100000,,,6325000,4325000,"Wide Receiver","bills","2003"
"Adams, Sam",750000,1500000,,1377300,2502300,"Defensive Tackle","bills","2003"
"Posey, Jeff",575000,1750000,,1016100,2328600,"Linebacker","bills","2003"
"Williams, Pat",2200000,,,3237200,2203200,"Defensive Tackle","bills","2003"
"McGahee, Willis",411000,1e+06,,1011000,1811000,"Running Back","bills","2003"
"Teague, Trey",750000,,,2127800,1752800,"Outside Linebacker","bills","2003"
"Campbell, Mark",650000,950000,,947500,1660000,"Tight End","bills","2003"
"Fletcher, London",1500000,,,2400000,1600000,"Linebacker","bills","2003"
"Kelsay, Chris",225000,1375000,,568750,1600000,"Defensive End","bills","2003"
"Lindell, Rian",450000,9e+05,950000,787500,1400000,"Punter/Kicker","bills","2003"
"Moore, Dave",1e+06,,,1219866,1053200,"Tight End","bills","2003"
"Shaw, Bobby",535000,5e+05,,704866,1038200,"Wide Receiver","bills","2003"
"Moorman, Brian",6e+05,325000,426600,748028,1026600,"Punter/Kicker","bills","2003"
"Prioleau, Pierson",750000,,,1166100,953600,"Safety","bills","2003"
"Van Pelt, Alex",750000,,,1e+06,8e+05,"Quarterback","bills","2003"
"Gash, Sam",755000,25000,,478200,783200,"Running Back","bills","2003"
"Reese, Izell",530000,175000,,621200,708700,"Safety","bills","2003"
"Henry, Travis",389000,3e+05,,738400,693400,"Running Back","bills","2003"
"McKenzie, Keith",655000,25000,,479000,684000,"Defensive End","bills","2003"
"Crowell, Angelo",225000,415000,,363333,640000,"Linebacker","bills","2003"
"Polk, Dashon",605000,,,609400,609400,"Linebacker","bills","2003"
"Morris, Sammy",605000,,,608200,608200,"Running Back","bills","2003"
"Sidney, Dainon",530000,25000,,478200,558200,"Cornerback","bills","2003"
"Price, Marcus",550000,,,602700,552700,"Outside Linebacker","bills","2003"
"Winfield, Antoine",530000,,,1235500,534500,"Cornerback","bills","2003"
"McGee, Terrence",225000,307500,,327500,532500,"Cornerback","bills","2003"
"Clements, Nate",389000,,,1404000,513375,"Cornerback","bills","2003"
"Aiken, Sam",225000,274000,,288392,499000,"Wide Receiver","bills","2003"
"Schobel, Aaron",416250,,,819750,489750,"Defensive End","bills","2003"
"Brown, Travis",450000,,,105882,450000,"Quarterback","bills","2003"
"Sullivan, Marques",389000,,,432233,393400,"Outside Linebacker","bills","2003"
"Edwards, Ron",389000,,,556366,393200,"Defensive Tackle","bills","2003"
"Jennings, Jonas",389000,,,505500,393000,"Outside Linebacker","bills","2003"
"Neufeld, Ryan",375000,,,379800,379800,"Tight End","bills","2003"
"Robertson, Bernard",375000,,,44118,375000,"Outside Linebacker","bills","2003"
"Tucker, Ross",375000,,,375000,375000,"Outside Linebacker","bills","2003"
"Reed, Josh",363750,,,768150,368150,"Wide Receiver","bills","2003"
"Sobieski, Ben",225000,115482,,263494,340482,"Outside Linebacker","bills","2003"
"Wire, Coy",3e+05,,,424700,304700,"Safety","bills","2003"
"Bannan, Justin",3e+05,,,344400,304400,"Defensive Tackle","bills","2003"
"Burns, Joe",3e+05,,,306150,304400,"Running Back","bills","2003"
"Pucillo, Mike",3e+05,,,317233,304400,"Outside Linebacker","bills","2003"
"Thomas, Kevin",3e+05,,,330233,304400,"Cornerback","bills","2003"
"Stevenson, Dominique",3e+05,,,304300,304300,"Linebacker","bills","2003"
"Denney, Ryan",3e+05,,,541100,303600,"Defensive End","bills","2003"
"Sape, Lauvale",225000,68500,,247833,293500,"Defensive Tackle","bills","2003"
"Brown, Antonio",225000,3500,,231150,232900,"Wide Receiver","bills","2003"
"Coleman, Clarence",225000,,,229800,229800,"Wide Receiver","bills","2003"
"Stamer, Josh",225000,,,229800,229800,"Linebacker","bills","2003"
"Byrd, Gary",225000,4000,,131333,229000,"Outside Linebacker","bills","2003"
"Dorenbos, Jon",225000,3000,,226500,228000,"Outside Linebacker","bills","2003"
"Haggan, Mario",225000,,,92647,225000,"Linebacker","bills","2003"
"Simonton, Ken",225000,,,66176,225000,"Running Back","bills","2003"
"Bledsoe, Drew",2250000,6500000,,4419466,8752800,"Quarterback","bills","2004"
"Schobel, Aaron",5e+05,7e+06,,1998866,7502200,"Defensive End","bills","2004"
"Vincent, Troy",2150000,3600000,,2775000,5775000,"Safety","bills","2004"
"Moulds, Eric",4245000,,,7345000,5345000,"Wide Receiver","bills","2004"
"Spikes, Takeo",2500000,1500000,,4400000,4100000,"Linebacker","bills","2004"
"Villarrial, Chris",1150250,2875000,,1873300,4029550,"Outside Linebacker","bills","2004"
"Teague, Trey",1500000,2e+06,,2877400,3502400,"Outside Linebacker","bills","2004"
"Evans, Lee",230000,2250000,,1300000,3175000,"Wide Receiver","bills","2004"
"McGahee, Willis",326250,2750000,,1363866,3078450,"Running Back","bills","2004"
"Adams, Sam",2e+06,,,3377000,3002000,"Defensive Tackle","bills","2004"
"Milloy, Lawyer",1e+06,,,4002300,2752300,"Safety","bills","2004"
"Williams, Pat",2600000,,,3636900,2602900,"Defensive Tackle","bills","2004"
"Fletcher, London",2500000,,,3400000,2600000,"Linebacker","bills","2004"
"Edwards, Ron",628000,1250000,,1256600,1881600,"Defensive Tackle","bills","2004"
"Williams, Mike (OL)",486250,1250000,,3301414,1737650,"Outside Linebacker","bills","2004"
"Prioleau, Pierson",1e+06,,,1412500,1200000,"Safety","bills","2004"
"Losman, J.P.",230000,,,1078000,1078000,"Quarterback","bills","2004"
"Posey, Jeff",1050000,,,1490200,1052700,"Linebacker","bills","2004"
"Campbell, Mark",750000,,,1287500,1050000,"Tight End","bills","2004"
"Anderson, Tim",230000,532000,,407333,762000,"Defensive Tackle","bills","2004"
"Matthews, Shane",760000,,,455000,760000,"Quarterback","bills","2004"
"Reese, Izell",750000,,,840300,752800,"Safety","bills","2004"
"Henry, Travis",750000,,,1096800,751800,"Running Back","bills","2004"
"Tucker, Ross",5e+05,225000,,580200,730200,"Outside Linebacker","bills","2004"
"Lindell, Rian",725000,,4600,1017100,729600,"Punter/Kicker","bills","2004"
"Price, Marcus",650000,,,753200,703200,"Outside Linebacker","bills","2004"
"Clements, Nate",455000,,,1491875,632500,"Cornerback","bills","2004"
"Moorman, Brian",6e+05,,2800,649228,602800,"Punter/Kicker","bills","2004"
"Shelton, Daimon",535000,20000,,549800,559800,"Running Back","bills","2004"
"Euhus, Tim",213235,321500,,320401,534735,"Tight End","bills","2004"
"Reed, Josh",380000,,,915300,515300,"Wide Receiver","bills","2004"
"Neufeld, Ryan",455000,,,460200,460200,"Tight End","bills","2004"
"Jennings, Jonas",455000,,,570400,457900,"Outside Linebacker","bills","2004"
"Wire, Coy",380000,,,505200,385200,"Safety","bills","2004"
"Pucillo, Mike",380000,,,397334,384500,"Outside Linebacker","bills","2004"
"Bannan, Justin",380000,,,424000,384000,"Defensive Tackle","bills","2004"
"Burns, Joe",380000,,,383700,383700,"Running Back","bills","2004"
"Denney, Ryan",380000,,,621100,383600,"Defensive End","bills","2004"
"Thomas, Kevin",380000,,,409434,383600,"Cornerback","bills","2004"
"Smith, Lawrence",305000,13000,,316300,322800,"Outside Linebacker","bills","2004"
"Stamer, Josh",305000,,,310200,310200,"Linebacker","bills","2004"
"Aiken, Sam",305000,,,401133,309800,"Wide Receiver","bills","2004"
"Crowell, Angelo",305000,,,447933,309600,"Linebacker","bills","2004"
"Haggan, Mario",305000,,,309500,309500,"Linebacker","bills","2004"
"McGee, Terrence",305000,,,411800,309300,"Cornerback","bills","2004"
"Kelsay, Chris",305000,,,652750,309000,"Defensive End","bills","2004"
"Shaw, Bobby",3e+05,,2700,469366,302700,"Wide Receiver","bills","2004"
"Dorenbos, Jon",287941,,,293841,292341,"Long Snapper","bills","2004"
"McFarland, Dylan",230000,42450,,244150,272450,"Outside Linebacker","bills","2004"
"Baker, Rashad",230000,12500,,234166,242500,"Safety","bills","2004"
"Greer, Jabari",230000,5000,,232500,235000,"Cornerback","bills","2004"
"Williams, Shaud",230000,2500,,231250,232500,"Running Back","bills","2004"
"Smith, Jonathan",156565,38750,,121765,195315,"Wide Receiver","bills","2004"
"Ritzmann, Constantin",185294,2500,,186544,187794,"Defensive End","bills","2004"
"Peters, Jason",147385,5000,,108235,152385,"Tight End","bills","2004"
"Banta, Brad",134118,,,80294,134118,"Long Snapper","bills","2004"
"Gildon, Jason",,1e+05,1e+05,2e+05,1e+05,"Defensive End","bills","2004"
"Trafford, Rodney",54118,,,54118,54118,"Tight End","bills","2004"
"Brown, Travis",36941,,3100,40041,40041,"Quarterback","bills","2004"
"Brown, Dante",35882,,,35882,35882,"Running Back","bills","2004"
"Lawton, Luke",27400,7500,7500,31750,34900,"Running Back","bills","2004"
"Acholonu, D.D.",,3000,3000,3000,3000,"Linebacker","bills","2004"
"Moulds, Eric",1500000,5e+06,,5266666,6600000,"Wide Receiver","bills","2005"
"McGee, Terrence",380000,5e+06,,1487780,5385280,"Cornerback","bills","2005"
"Williams, Mike (OL)",4e+06,,,7815084,5001320,"Outside Linebacker","bills","2005"
"Evans, Lee",311250,4225000,,2051355,4538230,"Wide Receiver","bills","2005"
"Losman, J.P.",305000,4170000,,1417410,4481160,"Quarterback","bills","2005"
"Adams, Sam",2e+06,,,4125000,3750000,"Defensive Tackle","bills","2005"
"Spikes, Takeo",3500000,,1e+05,5400000,3600000,"Outside Linebacker","bills","2005"
"Fletcher, London",3e+06,,,3900000,3100000,"Middle Linebacker","bills","2005"
"Schobel, Aaron",1e+06,2e+06,,2567986,3001320,"Defensive End","bills","2005"
"Vincent, Troy",2750000,,25000,3375000,2775000,"Safety","bills","2005"
"Milloy, Lawyer",1e+06,,1754510,4004510,2754510,"Safety","bills","2005"
"Holcomb, Kelly",665000,2e+06,,1169510,2669510,"Quarterback","bills","2005"
"Clements, Nate",2500000,,,3485475,2626100,"Cornerback","bills","2005"
"Villarrial, Chris",2275000,,,2996720,2277970,"Offensive Guard","bills","2005"
"Teague, Trey",1250000,,,3627310,2252310,"Center","bills","2005"
"Anderson, Bennie",550000,1500000,,1053080,2053080,"Offensive Guard","bills","2005"
"Parrish, Roscoe",230000,1320000,,581666,1550000,"Wide Receiver","bills","2005"
"Gandy, Mike",540000,810000,,995000,1400000,"Offensive Tackle","bills","2005"
"Posey, Jeff",1300000,,1980,1739480,1301980,"Outside Linebacker","bills","2005"
"Edwards, Ron",1e+06,,,1878190,1253190,"Defensive Tackle","bills","2005"
"Moorman, Brian",650000,450000,451320,787748,1101320,"Punter/Kicker","bills","2005"
"Campbell, Mark",850000,,,1287500,1050000,"Tight End","bills","2005"
"Shelton, Daimon",7e+05,250000,305170,890170,1005170,"Running Back","bills","2005"
"McGahee, Willis",529000,,,1915296,879880,"Running Back","bills","2005"
"Lindell, Rian",825000,,5390,1117890,830390,"Punter/Kicker","bills","2005"
"Everett, Kevin",197647,6e+05,,347647,797647,"Tight End","bills","2005"
"Matthews, Shane",765000,25000,,481540,791540,"Quarterback","bills","2005"
"Neufeld, Ryan",540000,2e+05,,611396,744730,"Tight End","bills","2005"
"Thomas, Kevin",656000,,,662160,662160,"Cornerback","bills","2005"
"Wire, Coy",550000,1e+05,104840,724840,654840,"Safety","bills","2005"
"Preston, Duke",230000,415000,,333750,645000,"Offensive Guard","bills","2005"
"Bannan, Justin",550000,,,594840,554840,"Defensive Tackle","bills","2005"
"Schneck, Mike",540000,,,455000,540000,"Long Snapper","bills","2005"
"Reed, Josh",455000,,,914310,514310,"Wide Receiver","bills","2005"
"Burns, Joe",455000,30000,35060,475060,490060,"Running Back","bills","2005"
"Denney, Ryan",455000,,,695910,458410,"Defensive End","bills","2005"
"Jerman, Greg",455000,,,456430,456430,"Offensive Tackle","bills","2005"
"King, Eric",230000,161325,,270331,391325,"Cornerback","bills","2005"
"Aiken, Sam",380000,,,477494,386160,"Wide Receiver","bills","2005"
"Stamer, Josh",380000,,5390,385390,385390,"Outside Linebacker","bills","2005"
"Crowell, Angelo",380000,,5060,523394,385060,"Outside Linebacker","bills","2005"
"Haggan, Mario",380000,,5060,385060,385060,"Outside Linebacker","bills","2005"
"Kelsay, Chris",380000,,,728590,384840,"Defensive End","bills","2005"
"Sape, Lauvale",305000,5000,,313660,316160,"Defensive Tackle","bills","2005"
"Anderson, Tim",305000,,,488493,311160,"Defensive Tackle","bills","2005"
"Baker, Rashad",305000,,6160,315326,311160,"Safety","bills","2005"
"Euhus, Tim",305000,,,418326,311160,"Tight End","bills","2005"
"Williams, Shaud",305000,,,312410,311160,"Running Back","bills","2005"
"Greer, Jabari",305000,,,312340,309840,"Cornerback","bills","2005"
"Peters, Jason",305000,,,309510,309510,"Offensive Tackle","bills","2005"
"Smith, Jonathan",305000,,,307310,307310,"Wide Receiver","bills","2005"
"Geisinger, Justin",230000,64000,,251333,294000,"Offensive Guard","bills","2005"
"Gates, Lionel",230000,34000,,241333,264000,"Running Back","bills","2005"
"Leonhard, Jim",230000,10000,10000,235000,240000,"Safety","bills","2005"
"Wilson, George",230000,,,235280,235280,"Wide Receiver","bills","2005"
"Ezekiel, Liam",203512,,,189412,203512,"Middle Linebacker","bills","2005"
"Smith, Lawrence",165000,,,176890,170390,"Offensive Guard","bills","2005"
"Jefferson, Jason",162353,,,162353,162353,"Defensive Tackle","bills","2005"
"Jefferson, Jason",162353,,,162353,162353,"Defensive Tackle","bills","2005"
"Lee, ReShard",,15000,15000,17200,15000,"Running Back","bills","2005"
"Tripplett, Larry",760000,5500000,,2861760,7261760,"Defensive Tackle","bills","2006"
"Clements, Nate",7226000,,,7226000,7226000,"Cornerback","bills","2006"
"Spikes, Takeo",4500000,,,6400000,4600000,"Linebacker","bills","2006"
"Fletcher, London",4e+06,,,4900000,4100000,"Linebacker","bills","2006"
"Peters, Jason",5e+05,1500000,,2052420,3252420,"Outside Linebacker","bills","2006"
"Whitner, Donte'",275000,1500000,,1923000,3123000,"Safety","bills","2006"
"Royal, Robert",585000,2500000,,1088520,3088520,"Tight End","bills","2006"
"Schobel, Aaron",2e+06,,,4567106,3000440,"Defensive End","bills","2006"
"McGee, Terrence",2e+06,,,3875000,2875000,"Cornerback","bills","2006"
"Reed, Josh",6e+05,2e+06,,1104180,2604180,"Wide Receiver","bills","2006"
"Fowler, Melvin",6e+05,2e+06,,1270186,2603520,"Outside Linebacker","bills","2006"
"Price, Peerless",8e+05,1800000,,1251540,2601540,"Wide Receiver","bills","2006"
"Denney, Ryan",6e+05,1600000,,1002200,2202200,"Defensive End","bills","2006"
"Gandy, Mike",1800000,,,2505000,2100000,"Outside Linebacker","bills","2006"
"Nall, Craig",6e+05,1300000,,1037843,1904510,"Quarterback","bills","2006"
"Villarrial, Chris",1450000,,,2620400,1901650,"Outside Linebacker","bills","2006"
"Davis, Andre'",8e+05,575000,,1379290,1379290,"Wide Receiver","bills","2006"
"Holcomb, Kelly",1125000,,,1829730,1329730,"Quarterback","bills","2006"
"Lindell, Rian",950000,3e+05,354620,1352120,1304620,"Punter/Kicker","bills","2006"
"Bowen, Matt",8e+05,3e+05,,955280,1105280,"Safety","bills","2006"
"Youboty, Ashton",275000,785000,,471250,1060000,"Cornerback","bills","2006"
"Shelton, Daimon",1e+06,,,1179180,1054180,"Running Back","bills","2006"
"McCargo, John",275000,,,1050000,1050000,"Defensive Tackle","bills","2006"
"Losman, J.P.",425000,,,1725480,998230,"Quarterback","bills","2006"
"Crowell, Angelo",910000,,,1578750,985000,"Linebacker","bills","2006"
"Schneck, Mike",710000,250000,,773820,961320,"Linebacker","bills","2006"
"Aiken, Sam",5e+05,350000,,677860,852860,"Wide Receiver","bills","2006"
"Haggan, Mario",5e+05,3e+05,,653080,803080,"Linebacker","bills","2006"
"Simpson, Ko",275000,465000,,391250,740000,"Safety","bills","2006"
"Reyes, Tutan",585000,150000,,661320,736320,"Outside Linebacker","bills","2006"
"McGahee, Willis",731750,,,1867608,732190,"Running Back","bills","2006"
"Stamer, Josh",5e+05,2e+05,,603520,703520,"Linebacker","bills","2006"
"Moorman, Brian",7e+05,,880,837308,700880,"Punter/Kicker","bills","2006"
"Wire, Coy",650000,,,704400,654400,"Linebacker","bills","2006"
"Thomas, Anthony",585000,40000,,466760,626760,"Running Back","bills","2006"
"Thomas, Kiwaukee",585000,25000,,452970,612970,"Cornerback","bills","2006"
"Neufeld, Ryan",6e+05,,,671066,604400,"Tight End","bills","2006"
"Evans, Lee",542500,,,2283265,545140,"Wide Receiver","bills","2006"
"Kelsay, Chris",5e+05,,,845950,502200,"Defensive End","bills","2006"
"Williams, Kyle",275000,193000,,323250,468000,"Defensive Tackle","bills","2006"
"Butler, Brad",275000,175000,,318750,450000,"Outside Linebacker","bills","2006"
"Anderson, Tim",425000,,,606734,429400,"Defensive Tackle","bills","2006"
"Williams, Shaud",425000,,,3429290,429290,"Running Back","bills","2006"
"Greer, Jabari",425000,,,426760,426760,"Cornerback","bills","2006"
"Ellison, Keith",275000,80250,,301750,355250,"Linebacker","bills","2006"
"Preston, Duke",350000,,,458590,354840,"Outside Linebacker","bills","2006"
"Everett, Kevin",350000,,,503300,353300,"Tight End","bills","2006"
"Parrish, Roscoe",350000,,,703206,351540,"Wide Receiver","bills","2006"
"Pennington, Terrance",275000,56900,,289225,331900,"Outside Linebacker","bills","2006"
"Leonhard, Jim",350000,,,329411,329411,"Safety","bills","2006"
"Merz, Aaron",275000,26400,,283800,301400,"Outside Linebacker","bills","2006"
"DiGiorgio, John",275000,10000,,278333,285000,"Linebacker","bills","2006"
"Powell, Eric",275000,,,280280,280280,"Defensive End","bills","2006"
"Hargrove, Tony",425000,,,275000,275000,"Defensive End","bills","2006"
"Odom, Joe",5e+05,,,250000,250000,"Linebacker","bills","2006"
"Jefferson, Jason",350000,,,247058,247058,"Defensive Tackle","bills","2006"
"Murphy, Matt",585000,,,206470,206470,"Tight End","bills","2006"
"Morgan, Matt",350000,,,199070,199070,"Outside Linebacker","bills","2006"
"Cieslak, Brad",275000,,,113235,113235,"Tight End","bills","2006"
"Dockery, Derrick",1e+06,8100000,,6754680,13504680,"Outside Linebacker","bills","2007"
"Kelsay, Chris",1e+06,8e+06,,6100000,12100000,"Defensive End","bills","2007"
"Whitner, Donte'",360000,1500000,,2331990,8706990,"Safety","bills","2007"
"Walker, Langston",1e+06,5e+06,,3004560,7004560,"Outside Linebacker","bills","2007"
"Peters, Jason",1500000,1500000,,2600000,4550000,"Outside Linebacker","bills","2007"
"McCargo, John",360000,,,1316220,4173720,"Defensive Tackle","bills","2007"
"Lynch, Marshawn",285000,3006150,,1521025,4026150,"Running Back","bills","2007"
"Schobel, Aaron",750000,,,9207069,3500840,"Defensive End","bills","2007"
"McGee, Terrence",2500000,5e+06,,4375000,3375000,"Cornerback","bills","2007"
"Lindell, Rian",750000,3e+05,2754200,3264200,3204200,"Punter/Kicker","bills","2007"
"Denney, Ryan",1900000,1600000,,2876920,3101920,"Defensive End","bills","2007"
"Fowler, Melvin",1750000,2e+06,,3296346,2904680,"Outside Linebacker","bills","2007"
"Tripplett, Larry",1685000,5500000,,3787280,2687280,"Defensive Tackle","bills","2007"
"Reed, Josh",1650000,2e+06,,2750000,2250000,"Wide Receiver","bills","2007"
"Price, Peerless",1600000,1800000,,2552280,2102280,"Wide Receiver","bills","2007"
"Posluszny, Paul",285000,1468000,,767000,1868000,"Linebacker","bills","2007"
"Losman, J.P.",1800000,,,2972810,1804560,"Quarterback","bills","2007"
"Royal, Robert",1300000,2500000,,2054680,1554680,"Tight End","bills","2007"
"Webster, Jason",8e+05,5e+05,,1581320,1381320,"Cornerback","bills","2007"
"Crowell, Angelo",1190000,2375000,,1858750,1265000,"Linebacker","bills","2007"
"Wire, Coy",650000,150000,,1054080,1154080,"Linebacker","bills","2007"
"Thomas, Anthony",6e+05,4e+05,,850000,1050000,"Running Back","bills","2007"
"Moorman, Brian",750000,,251440,2137868,1001440,"Punter/Kicker","bills","2007"
"Greer, Jabari",510000,110000,,9e+05,955000,"Cornerback","bills","2007"
"Gaines, Michael",982812,,,924999,924999,"Tight End","bills","2007"
"Edwards, Trent",285000,631000,,442750,916000,"Quarterback","bills","2007"
"Thomas, Kiwaukee",720000,150000,,820000,895000,"Cornerback","bills","2007"
"Anderson, Tim",850000,,,852760,852760,"Defensive Tackle","bills","2007"
"Evans, Lee",773750,2250000,,1799654,775070,"Wide Receiver","bills","2007"
"Wallace, Al",725000,10000,,775000,775000,"Defensive End","bills","2007"
"Whittle, Jason",720000,40000,,476800,761800,"Outside Linebacker","bills","2007"
"Wright, Dwayne",285000,461000,,400250,746000,"Running Back","bills","2007"
"Neufeld, Ryan",7e+05,2e+05,,772428,705760,"Tight End","bills","2007"
"Stamer, Josh",595000,2e+05,,779080,679080,"Linebacker","bills","2007"
"Haggan, Mario",675000,3e+05,,828720,678720,"Linebacker","bills","2007"
"Aiken, Sam",675000,350000,,853360,678360,"Wide Receiver","bills","2007"
"Hargrove, Tony",850000,,,653120,653120,"Defensive End","bills","2007"
"Murphy, Matt",595500,,,560470,560470,"Tight End","bills","2007"
"Scott, Bryan",595250,,,560235,560235,"Safety","bills","2007"
"Nall, Craig",,,,,490082,"Quarterback","bills","2007"
"Butler, Jerametrius",,,,,490000,"Cornerback","bills","2007"
"Joe, Leon",510000,,,480000,480000,"Linebacker","bills","2007"
"Chambers, Kirk",435000,,,440760,440760,"Outside Linebacker","bills","2007"
"Wilson, George",435000,,,440640,440640,"Wide Receiver","bills","2007"
"Jefferson, Jason",435000,,,440160,440160,"Defensive Tackle","bills","2007"
"Leonhard, Jim",435000,,,440040,440040,"Safety","bills","2007"
"Everett, Kevin",435000,6e+05,,589680,439680,"Tight End","bills","2007"
"Preston, Duke",435000,415000,,543430,439680,"Outside Linebacker","bills","2007"
"Parrish, Roscoe",435000,1320000,,790028,438360,"Wide Receiver","bills","2007"
"Wendling, John",285000,98750,,309687,383750,"Safety","bills","2007"
"DiGiorgio, John",360000,10000,,369093,365760,"Linebacker","bills","2007"
"Butler, Brad",360000,175000,,409030,365280,"Outside Linebacker","bills","2007"
"Merz, Aaron",360000,26400,,373840,365040,"Outside Linebacker","bills","2007"
"Ellison, Keith",360000,80250,,391550,364800,"Linebacker","bills","2007"
"Youboty, Ashton",360000,785000,,560810,364560,"Cornerback","bills","2007"
"Williams, Kyle",360000,193000,,412210,363960,"Defensive Tackle","bills","2007"
"Simpson, Ko",360000,465000,,479850,363600,"Safety","bills","2007"
"Neill, Ryan",285000,,,290640,290640,"Defensive End","bills","2007"
"Jackson, Fredrick",285000,,,290040,290040,"Running Back","bills","2007"
"Bryan, Copeland",285000,,,268235,268235,"Defensive End","bills","2007"
"Harrison, Kevin",,,,,162058,"Linebacker","bills","2007"
"Evans, Lee",11730770,,,10462626,11818812,"Wide Receiver","bills","2008"
